site,latitude,longitude,elevation_m,source_site_names
0001,28.43383367,-80.57339342,3.2100,0001
0002,28.44425806,-80.56205269,3.0200,0002 NW  NW | 0002 NW  SE | 0002 SE  NW | 0002 SE  SE
0003,28.45981228,-80.52671336,3.6600,0003
0006,28.51298142,-80.56130344,2.5200,0006 NW  NW | 0006 NW  SE | 0006 SE  NW | 0006 SE  SE
0011,28.60306389,-80.59060750,1.8000,0011 (RSA)
0015,28.70286333,-80.66786667,1.4400,0015
0017,28.44658667,-80.56517425,2.9400,0017
0019,28.74347789,-80.70052972,0.6000,0019
0022,28.79747406,-80.73779975,0.1700,0022
0039,28.61048711,-80.60687053,3.4400,39 A NW(60ft) | 39 A SE(60ft) | 39 B NW(60ft) | 39 B SE(60ft)
0108,28.53585147,-80.57479178,2.9100,0108
0110,28.56971917,-80.58641417,2.5000,0110 NW  NW | 0110 NW  SE | 0110 SE  NW | 0110 SE  SE
0211,28.60614492,-80.62143711,2.4000,0211 | 0211 DROP PT
0300,28.40478717,-80.65192236,2.2300,0300
0303,28.45997917,-80.57112500,2.5000,0303
0311,28.60274750,-80.64137778,2.3000,0311
0313,28.62557686,-80.65707681,2.4300,0313 NE  NE | 0313 NE  SW | 0313 SW  NE | 0313 SW  SW
0316,28.68700944,-80.71920667,1.5300,0316 (RSA)
0403,28.45857222,-80.59231333,2.6000,0403
0412,28.60625444,-80.67387250,2.9000,0412
0415,28.65857269,-80.69981650,2.4300,0415
0418,28.70554258,-80.72646025,0.8800,0418
0421,28.77546597,-80.80432864,1.4000,0421
0506,28.51582397,-80.63999911,1.7300,0506
0509,28.56228339,-80.66940514,2.2400,0509
0511,28.59855767,-80.68165567,0.7900,0511
0512,28.61601297,-80.69303939,1.2800,0512
0513,28.63075294,-80.70271256,3.1600,0513
0714,28.64313444,-80.74818522,2.3500,0714
0803,28.46317667,-80.67017806,3.3000,0803
0805,28.51810333,-80.69632389,0.7500,0805
0819,28.74640475,-80.87071631,8.1400,0819
1000,28.40791839,-80.76038294,9.1400,1000
1007,28.52717917,-80.77420167,1.1000,1007
1012,28.60561797,-80.82480033,9.1700,1012
1204,28.48428633,-80.78557264,8.1100,1204
1305,28.50940639,-80.79337111,11.4700,1305 (RSA)
1500,28.41144456,-80.92843639,8.0700,1500
1605,28.49595994,-80.88426875,2.9800,1605
1612,28.61731236,-80.95807006,3.1400,1612
1617,28.67620206,-80.99873919,1.8500,1617
2008,28.52313250,-81.00995519,15.6000,2008
2016,28.64890492,-81.06933031,7.3900,2016
2202,28.44167797,-81.02911317,20.0900,2202
9001,28.39320183,-80.82115528,6.6500,9001
9005,28.33758833,-80.60924778,3.1300,9005 (RSA 0095)
9211,28.22747833,-80.75790722,7.1100,9211 (RSA 0889)
9404,28.33818103,-80.73209600,6.4300,9404
9606,28.34470139,-80.69064472,1.7500,9606 (RSA 0496)
LC37,28.53100000,-80.56420000,376.0000,LC37 E | LC37 W
LC39,0.00000000,0.00000000,192.0000,LC39 A NE | LC39 A NW | LC39 A SE | LC39 B NE | LC39 B NW | LC39 B SW
LC40,28.56250000,-80.57750000,150.0000,LC40 N | LC40 SE | LC40 SW
LC41,28.58400000,-80.58320000,230.0000,LC41 NW | LC41 SE
